Date,Open,High,Low,Close
10/24/2022,"19,503","19,680","19,170","19,341"
10/23/2022,"19,187","19,518","19,082","19,503"
10/22/2022,"19,192","19,252","19,119","19,187"
10/21/2022,"19,063","19,242","18,681","19,191"
10/20/2022,"19,227","19,337","18,920","19,063"
10/19/2022,"19,218","19,424","19,078","19,226"
10/18/2022,"19,523","19,694","19,105","19,217"
10/17/2022,"19,370","19,671","19,117","19,523"
10/16/2022,"19,103","19,370","19,000","19,370"
10/15/2022,"19,161","19,220","19,050","19,103"
10/14/2022,"19,370","19,939","19,116","19,161"
10/13/2022,"19,141","19,497","18,198","19,370"
10/12/2022,"18,994","19,193","18,989","19,141"
10/11/2022,"19,215","19,274","18,860","18,994"
10/10/2022,"19,471","19,523","19,120","19,214"
10/09/2022,"19,472","19,557","19,269","19,471"
10/08/2022,"19,467","19,643","19,430","19,472"
10/07/2022,"20,014","20,068","19,339","19,467"
10/06/2022,"20,114","20,439","19,886","20,014"
10/05/2022,"20,227","20,460","19,760","20,114"
10/04/2022,"19,534","20,268","19,510","20,227"
10/03/2022,"19,265","19,649","18,938","19,532"
10/02/2022,"19,274","19,393","19,050","19,265"
10/01/2022,"19,492","19,531","19,174","19,274"
09/30/2022,"19,406","20,171","19,193","19,492"
09/29/2022,"19,543","19,764","18,852","19,406"
09/28/2022,"19,080","19,645","18,498","19,543"
09/27/2022,"19,200","20,373","18,834","19,082"
09/26/2022,"18,918","19,305","18,650","19,196"
09/25/2022,"19,112","19,166","18,817","18,917"
09/24/2022,"18,816","19,393","18,807","19,112"
09/23/2022,"19,310","19,498","18,542","18,816"
09/22/2022,"19,016","19,485","18,165","19,308"
09/21/2022,"18,991","19,800","18,774","19,016"
09/20/2022,"19,515","19,674","18,740","18,991"
09/19/2022,"19,727","19,747","18,278","19,514"
09/18/2022,"20,012","20,140","19,575","19,726"
09/17/2022,"19,623","20,179","19,618","20,012"
09/16/2022,"19,787","19,891","19,339","19,623"
09/15/2022,"19,965","20,384","19,516","19,788"
09/14/2022,"20,284","20,521","19,631","19,965"
09/13/2022,"22,427","22,767","20,061","20,276"
09/12/2022,"21,627","22,473","21,465","22,427"
09/11/2022,"21,590","21,850","21,368","21,628"
09/10/2022,"21,301","21,667","21,138","21,589"
09/09/2022,"19,343","21,422","19,263","21,299"
09/08/2022,"19,005","19,450","18,997","19,343"
09/07/2022,"18,823","19,184","18,559","19,009"
09/06/2022,"19,707","20,171","18,803","18,823"
09/05/2022,"19,886","20,045","19,643","19,707"
09/04/2022,"19,710","19,949","19,599","19,886"
09/03/2022,"19,906","20,045","19,667","19,710"
09/02/2022,"19,872","20,436","19,767","19,906"
09/01/2022,"20,231","20,288","19,575","19,872"
08/31/2022,"19,950","20,473","19,766","20,231"
08/30/2022,"20,093","20,562","19,555","19,949"
08/29/2022,"19,977","20,400","19,526","20,092"
08/28/2022,"20,025","20,151","19,824","19,977"
08/27/2022,"20,652","20,747","19,845","20,025"
08/26/2022,"21,601","21,862","20,549","20,652"
08/25/2022,"21,716","21,800","21,319","21,601"
08/24/2022,"21,517","21,886","21,158","21,716"
08/23/2022,"21,045","21,664","20,902","21,516"
08/22/2022,"21,514","21,770","20,910","21,044"
08/21/2022,"20,986","21,577","20,787","21,514"
08/20/2022,"21,334","21,378","20,805","20,986"
08/19/2022,"23,348","23,442","21,163","21,334"
08/18/2022,"23,278","23,590","23,194","23,348"
08/17/2022,"23,938","24,426","23,250","23,278"
08/16/2022,"23,988","24,241","23,677","23,938"
08/15/2022,"24,297","25,204","23,902","23,988"
08/14/2022,"24,410","25,029","24,168","24,297"
08/13/2022,"24,191","24,888","24,075","24,410"
08/12/2022,"24,218","24,336","23,620","24,191"
08/11/2022,"23,639","24,901","23,637","24,216"
08/10/2022,"23,066","24,176","22,685","23,636"
08/09/2022,"23,934","24,102","22,891","23,067"
08/08/2022,"23,161","24,244","23,073","23,934"
08/07/2022,"23,190","23,281","22,862","23,161"
08/06/2022,"22,944","23,345","22,853","23,191"
08/05/2022,"22,462","23,463","22,455","22,944"
08/04/2022,"23,467","23,490","22,413","22,462"
08/03/2022,"22,955","23,627","22,705","23,467"
08/02/2022,"22,962","23,445","22,675","22,955"
08/01/2022,"23,848","23,890","22,873","22,962"
07/31/2022,"23,933","24,175","23,421","23,847"
07/30/2022,"23,899","24,642","23,665","23,933"
07/29/2022,"23,799","24,412","23,452","23,897"
07/28/2022,"22,766","24,089","22,600","23,800"
07/27/2022,"20,924","23,100","20,828","22,759"
07/26/2022,"21,890","22,247","20,728","20,924"
07/25/2022,"22,714","22,999","21,565","21,890"
07/24/2022,"22,281","22,903","22,242","22,714"
07/23/2022,"22,593","22,996","21,960","22,280"
07/22/2022,"23,197","23,747","22,557","22,602"
07/21/2022,"23,661","23,779","22,356","23,197"
07/20/2022,"23,409","24,265","22,955","23,661"
07/19/2022,"21,610","23,680","21,453","23,416"
07/18/2022,"21,029","22,753","20,759","21,610"
07/17/2022,"21,180","21,652","20,834","21,029"
07/16/2022,"21,159","21,566","20,482","21,181"
07/15/2022,"20,593","21,165","20,375","21,159"
07/14/2022,"19,639","20,867","19,579","20,594"
07/13/2022,"19,383","20,070","18,920","19,639"
07/12/2022,"20,485","20,537","19,278","19,383"
07/11/2022,"20,898","21,162","20,263","20,484"
07/10/2022,"21,613","21,737","20,663","20,898"
07/09/2022,"21,792","22,002","21,320","21,612"
07/08/2022,"21,832","22,433","21,188","21,791"
07/07/2022,"20,298","21,833","20,247","21,833"
07/06/2022,"20,380","20,720","19,750","20,297"
07/05/2022,"19,803","20,471","19,296","20,380"
07/04/2022,"19,487","20,070","19,035","19,803"
07/03/2022,"19,247","19,505","18,767","19,488"
07/02/2022,"19,359","19,643","18,970","19,247"
07/01/2022,"18,884","20,837","18,631","19,359"
06/30/2022,"20,197","20,392","18,757","18,884"
06/29/2022,"20,236","20,420","19,841","20,196"
06/28/2022,"20,836","21,176","20,206","20,236"
06/27/2022,"21,274","21,507","20,518","20,836"
06/26/2022,"21,195","21,846","21,129","21,273"
06/25/2022,"21,232","21,584","20,900","21,195"
06/24/2022,"20,888","21,420","20,662","21,231"
06/23/2022,"20,113","20,920","19,764","20,888"
06/22/2022,"20,874","21,004","19,837","20,113"
06/21/2022,"20,070","21,686","19,987","20,874"
06/20/2022,"20,103","21,037","19,625","20,070"
06/19/2022,"18,034","20,276","17,602","20,099"
06/18/2022,"20,500","20,740","18,019","18,034"
06/17/2022,"20,830","21,322","20,210","20,500"
06/16/2022,"21,603","22,950","20,743","20,830"
06/15/2022,"22,174","22,346","20,088","21,592"
06/14/2022,"23,154","23,738","20,835","22,175"
06/13/2022,"27,402","27,502","22,602","23,155"
06/12/2022,"28,571","28,640","26,878","27,403"
06/11/2022,"28,963","29,404","28,104","28,572"
06/10/2022,"29,982","30,324","28,850","28,963"
06/09/2022,"30,116","30,662","29,933","29,982"
06/08/2022,"31,024","31,536","29,848","30,116"
06/07/2022,"31,447","31,570","29,214","31,020"
06/06/2022,"30,035","31,730","29,804","31,447"
06/05/2022,"29,634","30,138","29,528","30,035"
06/04/2022,"29,552","29,941","29,466","29,634"
06/03/2022,"30,275","30,659","29,255","29,552"
06/02/2022,"30,102","30,362","29,329","30,275"
06/01/2022,"31,624","31,948","29,881","30,104"
05/31/2022,"30,627","32,350","30,544","31,626"
05/30/2022,"29,095","30,899","29,072","30,627"
05/29/2022,"28,999","29,432","28,823","29,095"
05/28/2022,"28,844","29,220","28,510","28,999"
05/27/2022,"29,356","29,634","28,257","28,835"
05/26/2022,"29,558","29,845","28,018","29,356"
